Номер,Имя,Тип,Вес,Атака,Защита,Здоровье
1,Bulbasaur,grass,7,49,49,850
2,Ivysaur,grass,13,62,63,760
3,Venusaur,grass,100,100,123,1070
4,Charmander,fire,9,52,43,640
5,Charmeleon,fire,19,64,58,860
6,Charizard,fire,91,104,78,1030
7,Squirtle,water,9,48,65,750
8,Wartortle,water,23,63,80,650
9,Blastoise,water,86,103,120,1000
10,Pikachu,electric,6,55,40,660
11,Raichu,electric,13,85,50,860
12,Vulpix,fire,7,41,40,670
13,Ninetales,fire,11,67,75,570
14,Oddish,grass,5,50,55,960
15,Gloom,grass,9,65,70,860
16,Psyduck,water,20,52,48,1050
17,Golduck,water,77,82,78,500
18,Magnemite,electric,6,35,70,1700
19,Magneton,electric,60,60,95,900
20,Voltorb,electric,10,30,50,1200
