Номер,Имя,Тип,Вес,Атака,Защита,Здоровье
1,Bulbasaur,grass,7,49,49,1050
2,Ivysaur,grass,13,62,63,960
3,Venusaur,grass,100,100,123,1270
4,Charmander,fire,9,52,43,839
5,Charmeleon,fire,19,64,58,1060
6,Charizard,fire,91,104,78,1230
7,Squirtle,water,9,48,65,950
8,Wartortle,water,23,63,80,850
9,Blastoise,water,86,103,120,1200
10,Pikachu,electric,6,55,40,860
11,Raichu,electric,13,85,50,1060
12,Vulpix,fire,7,41,40,870
13,Ninetales,fire,11,67,75,770
14,Oddish,grass,5,50,55,1150
15,Gloom,grass,9,65,70,1060
16,Psyduck,water,20,52,48,1250
17,Golduck,water,77,82,78,690
18,Magnemite,electric,6,35,70,2000
19,Magneton,electric,60,60,95,1100
20,Voltorb,electric,10,30,50,1500
